Day fraction since midnight on 	red dye (mg/L)	Run Pump ()	Pump ()
0.647740955	21.28912735	1	1
0.647752532	21.61213112	1	1
0.647764103	21.54670525	1	1
0.647775676	21.55397224	1	1
0.647787247	21.70516968	1	1
0.647798839	21.78557777	1	1
0.647810401	21.75987816	1	1
0.647821986	21.76059723	1	1
0.647833549	21.81689453	1	1
0.647845122	21.7423687	1	1
0.647856701	21.90177536	1	1
0.647868282	21.84989738	1	1
0.64787984	21.70596886	1	1
0.647891424	21.4877491	1	1
0.647902999	21.20793533	1	1
0.647914569	21.23940659	1	1
0.647926138	21.10467911	1	1
0.647937719	21.10510445	1	1
0.647949292	21.28645897	1	1
0.647960865	21.20046043	1	1
0.64797245	20.87327194	1	1
0.647984021	20.92012978	1	1
0.647995579	20.99893951	1	1
0.648007156	21.08142281	1	1
0.648018732	21.06602669	1	1
0.648030301	21.09708405	1	1
0.648041885	21.09335136	1	1
0.648053464	21.10500526	1	1
0.648065026	20.96005249	1	1
0.648076607	20.83636475	1	1
0.648088173	20.84480476	1	1
0.648099745	20.90116692	1	1
0.648111329	20.74317169	1	1
0.648122893	20.69741821	1	1
0.648134482	20.33483505	1	1
0.648146043	20.54613876	1	1
0.648157624	20.41059875	1	1
