Day fraction since midnight on 	red dye (mg/L)	Supply air pressure (Pa)	Run Pump ()	Pump ()
0.598353893	1.843404174	0	1	1
0.598365458	1.842609525	0	1	1
0.59837706	1.841880798	0	1	1
0.598388613	1.841385484	0	1	1
0.598400188	1.840854049	0	1	1
0.598411765	1.840386987	0	1	1
0.598423322	1.839996576	0	1	1
0.5984349	1.83984673	0	1	1
0.598446479	1.839423418	0	1	1
0.598458044	1.839268088	0	1	1
0.598469616	1.83910811	0	1	1
0.598481198	1.838962078	0	1	1
0.598492788	1.838892937	0	1	1
0.598504337	1.838633776	0	1	1
0.598515926	1.838468194	0	1	1
0.598527494	1.837970257	0	1	1
0.59853907	1.838105202	0	1	1
0.598550639	1.838053227	0	1	1
0.598562223	1.837612867	0	1	1
0.598573785	1.837242365	0	1	1
0.598585365	1.837289691	0	1	1
0.598596947	1.837295294	0	1	1
0.5986085	1.836967945	0	1	1
0.598620088	1.836471558	0	1	1
0.598631661	1.836423755	0	1	1
0.598643242	1.837009668	0	1	1
0.598654825	1.836173892	0	1	1
0.598666391	1.836338878	0	1	1
0.598677958	1.83595562	0	1	1
0.59868956	1.835727096	0	1	1
0.598701114	1.835733056	0	1	1
0.598712675	1.83556211	0	1	1
0.59872426	1.835479975	0	1	1
0.598735819	1.835385919	0	1	1
0.598747397	1.835798025	0	1	1
0.598758984	1.835214496	0	1	1
0.598770561	1.835043907	0	1	1
0.598782152	1.835204721	0	1	1
0.598793707	1.834915042	0	1	1
0.598805264	1.835048914	0	1	1
0.598816837	1.835109234	0	1	1
0.598828416	1.834743977	0	1	1
0.598840014	1.834852934	0	1	1
0.598851556	1.83483398	0	1	1
0.598863133	1.834634662	0	1	1
0.598874721	1.834539175	0	1	1
0.598886291	1.83458972	0	1	1
0.598897853	1.834713459	0	1	1
0.598909428	1.834593892	0	1	1
0.598921017	1.835222721	0	1	1
0.598932584	1.834742665	0	1	1
0.598944158	1.834619761	0	1	1
0.598955733	1.834514141	0	1	1
0.598967307	1.834914565	0	1	1
0.598978889	1.835190773	0	1	1
0.598990449	1.834379315	0	1	1
0.599002036	1.834459424	0	1	1
0.599013611	1.834839463	0	1	1
0.599025206	1.836507201	0	1	1
