Day fraction since midnight on 	red dye (mg/L)	Run Pump ()	Pump ()
0.609049472	25.4760952	1	1
0.609061061	24.67230606	1	1
0.609072629	24.28781128	1	1
0.609084208	24.42855453	1	1
0.609095769	24.84680939	1	1
0.609107356	25.22814941	1	1
0.609118917	25.42001152	1	1
0.609130491	25.2970314	1	1
0.609142079	25.17044067	1	1
0.609153646	24.9430809	1	1
0.609165227	25.0224762	1	1
0.609176802	24.94845963	1	1
0.609188372	25.06605339	1	1
0.609199947	25.03248405	1	1
0.609211525	25.02426338	1	1
0.609223096	25.21822357	1	1
0.60923466	25.22349358	1	1
0.609246229	25.157444	1	1
0.609257819	25.16286278	1	1
0.609269387	24.67179298	1	1
0.609280968	24.707798	1	1
0.609292524	24.58717155	1	1
0.609304111	24.38510323	1	1
0.609315672	24.07455254	1	1
0.609327253	23.65471077	1	1
0.609338821	23.30882072	1	1
0.609350401	23.2710228	1	1
0.609361976	23.39250374	1	1
0.609373544	23.37225723	1	1
0.609385116	23.37309647	1	1
0.609396695	23.65751839	1	1
0.609408282	23.70339394	1	1
0.609419843	23.75068665	1	1
0.609431428	23.9482708	1	1
0.609443004	23.89888382	1	1
0.60945456	24.04738617	1	1
0.609466142	23.92531967	1	1
0.609477719	23.8872261	1	1
0.609489303	23.90936661	1	1
0.609500859	23.68807793	1	1
0.609512432	23.23696327	1	1
0.609524013	22.85017967	1	1
0.609535582	23.05804062	1	1
0.609547157	23.02420807	1	1
0.609558739	23.23181152	1	1
0.609570299	23.2869091	1	1
0.609581885	23.23217964	1	1
0.609593466	23.32138824	1	1
0.609605029	23.358881	1	1
0.609616604	23.39345932	1	1
0.609628187	23.27630997	1	1
0.609639762	23.07169342	1	1
0.609651321	22.51599121	1	1
0.609662894	22.43720436	1	1
0.609674467	22.72921944	1	1
0.60968606	22.80311966	1	1
0.609697633	22.61923027	1	1
0.609709202	22.21239662	1	1
0.609720784	21.97891617	1	1
0.609732342	21.94001389	1	1
0.609743913	21.86122894	1	1
0.609755488	22.11019325	1	1
0.609767079	22.18733978	1	1
0.609778634	22.08375168	1	1
0.609790222	22.01125145	1	1
0.609801796	21.94760895	1	1
0.609813356	21.9836731	1	1
0.609824945	22.29544067	1	1
0.609836509	22.32806015	1	1
0.609848095	22.15546417	1	1
0.609859669	21.97753143	1	1
0.609871228	22.05721474	1	1
0.609882802	21.9505291	1	1
0.609894373	21.32439041	1	1
0.609905965	21.05914688	1	1
0.609917535	21.04232597	1	1
0.609929112	20.99660492	1	1
0.60994067	21.01631927	1	1
0.609952255	21.33194923	1	1
0.609963835	21.40925407	1	1
0.609975401	21.56762505	1	1
0.60998698	21.70783615	1	1
0.609998545	21.68548965	1	1
0.610010124	21.26196671	1	1
0.610021706	21.01696205	1	1
0.610033282	20.6168499	1	1
0.610044855	20.31395149	1	1
0.610056418	20.30117989	1	1
0.610068006	20.62782478	1	1
0.610079568	20.71146393	1	1
0.610091134	20.87750053	1	1
0.610102726	20.78278732	1	1
0.610114301	20.38995171	1	1
0.610125855	20.44608307	1	1
0.610137431	20.6088829	1	1
0.610149018	20.72143364	1	1
0.61016059	20.70839691	1	1
0.610172158	20.42217445	1	1
